name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
jifoNSXvTuQ,Asbestos,yes,1,yes,1233345427,2009-01-30 19:01:07,WorkSafeBC,UCtqNMOFerlGydw5hstlLfFQ,Education,,en,488403,2435,,,0,258,https://i.ytimg.com/vi/jifoNSXvTuQ/mqdefault.jpg,EN
M8MoYQH4Sow,Asbestos,yes,2,yes,1330640712,2012-03-01 22:03:12,SafeWork NSW,UCYJl8iQcwN05W8ugR4jaZMw,Education,,en,6544,31,,,0,,https://i.ytimg.com/vi/M8MoYQH4Sow/mqdefault.jpg,EN
te1YVChqcnw,WTF Is Asbestos  Really?!,yes,3,yes,1483203603,2016-12-31 17:12:03,Seeker,UCzWQYUVCpZqtN93H8RR44Qw,Science & Technology,,en,654523,14201,,,0,1322,https://i.ytimg.com/vi/te1YVChqcnw/mqdefault.jpg,EN
ZKqM-AhDGig,The Impact of Asbestos,yes,4,yes,1447367256,2015-11-12 22:11:36,WorkSafeBC,UCtqNMOFerlGydw5hstlLfFQ,Education,,en,57699,340,,,0,32,https://i.ytimg.com/vi/ZKqM-AhDGig/mqdefault.jpg,EN
kGdVFTkKeh0,How Does Asbestos Cause Lung Cancer? | Lung Foundation Australia,yes,5,no,1589405433,2020-05-13 21:05:33,Lung Foundation Australia,UC1jdxQi0pQDYBG3iN1duYng,Nonprofits & Activism,,en,3506,26,,,0,9,https://i.ytimg.com/vi/kGdVFTkKeh0/mqdefault.jpg,EN
_-YCVoEGhm4,Video 1 – Asbestos Hazards  Risks and Identification,yes,6,yes,1618378851,2021-04-14 05:04:51,SafeWork NSW,UCYJl8iQcwN05W8ugR4jaZMw,Education,,en,26875,181,,,0,,https://i.ytimg.com/vi/_-YCVoEGhm4/mqdefault.jpg,EN
bDXrSQaFC3Y,Exposure to asbestos dust,yes,7,yes,1657115886,2022-07-06 13:07:06,APCHQ,UCfFzPzRYq3UR-4zjStfDJ3w,Nonprofits & Activism,,fr-CA,5106,51,,,0,1,https://i.ytimg.com/vi/bDXrSQaFC3Y/mqdefault.jpg,EN
SQSe-fCpnr8,Will Everyone Exposed to Asbestos Get Sick? | Weitz & Luxenberg,yes,8,yes,1306340594,2011-05-25 16:05:14,Weitz & Luxenberg P.C.,UCFbXd97petycwyC7aUWqyQg,Education,,,46094,359,,,0,158,https://i.ytimg.com/vi/SQSe-fCpnr8/mqdefault.jpg,EN
3dCJesyGn0s,Mesothelioma and Asbestos Law Firms qoutes,yes,9,no,1690700885,2023-07-30 07:07:05,Houston Reviews,UCscOdlJb5zgBlcy8TizQ2jg,People & Blogs,,,93,0,,,0,0,https://i.ytimg.com/vi/3dCJesyGn0s/mqdefault.jpg,EN
CpCRuiSvwlI,Asbestos real-life story: Keith Hughes,yes,10,yes,1522255812,2018-03-28 16:03:12,IOSHchannel,UCElzKyqOlO6UqkSj-YcmqsA,Nonprofits & Activism,,en-GB,4303,,,,0,,https://i.ytimg.com/vi/CpCRuiSvwlI/mqdefault.jpg,EN
KuHL7hiFTnc,The Deadly History of Asbestos,yes,11,no,1442865123,2015-09-21 19:09:03,SciShow,UCZYTClx2T1of7BRZ86-8fow,Education,,en,1338880,28628,,,0,1520,https://i.ytimg.com/vi/KuHL7hiFTnc/mqdefault.jpg,EN
7wZZF0oqK98,Asbestos real-life story: Danielle Smalley,yes,12,yes,1523026478,2018-04-06 14:04:38,IOSHchannel,UCElzKyqOlO6UqkSj-YcmqsA,Nonprofits & Activism,,en-GB,5553,,,,0,,https://i.ytimg.com/vi/7wZZF0oqK98/mqdefault.jpg,EN
tpqmHUgAoe0,Asbestos Exposure and Molecular Mechanism Animation,yes,13,yes,1652913824,2022-05-18 22:05:44,ADRI Channel - Asbestos Diseases Research Institute,UCPde8QIml3ZGFgChKWAb9Hw,Nonprofits & Activism,,en-GB,2069,40,,,0,0,https://i.ytimg.com/vi/tpqmHUgAoe0/mqdefault.jpg,EN
KJZTSIHHYF8,Effects of Asbestos on the Lungs,yes,14,yes,1404925421,2014-07-09 17:07:41,CARD - Center for Asbestos Related Disease,UCWr8hregbgFd5EWRQkn696Q,Education,,,64487,,,,0,,https://i.ytimg.com/vi/KJZTSIHHYF8/mqdefault.jpg,EN
ANxTwaY6cBA,Living with Asbestosis - Industrial Disease Compensation Claims,yes,15,yes,1643295297,2022-01-27 14:01:57,Stephensons Solicitors LLP,UCsqmv63nZziXW7UDhTb6nSg,People & Blogs,,en-GB,1325,12,,,0,1,https://i.ytimg.com/vi/ANxTwaY6cBA/mqdefault.jpg,EN
c-M6jqVV6Ks,Asbestosis | Occupational Lung Disease | Restrictive Lung Disease | Pulmonology,yes,16,yes,1569376826,2019-09-25 02:09:26,Medicosis Perfectionalis,UCl-J-ovSJhA3or73Q2uVpow,Education,en,en,46703,938,,,0,90,https://i.ytimg.com/vi/c-M6jqVV6Ks/mqdefault.jpg,EN
