Endocrine disrupting chemicals awareness,cluster,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
Fa3FWAQjstw,other,Orgasme : Comment l’atteindre ? - Allo Docteurs,no,,no,1620320366,2021-05-06 16:05:26,Les Questions  Sexo,UClhdHmC6-b-BF2ppdDRxUVg,Science & Technology,,fr,1049089,7038,,,0,217,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
1vf23GGiRpU,other,Papa solo : il élève seul ses deux enfants (LE + D ENVOYÉ SPÉCIAL),no,,no,1673285400,2023-01-09 17:01:00,Envoyé Spécial,UCCauEjHzPXxGer8af3u4x5g,News & Politics,fr,fr,23448,260,,,0,88,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
v8t7MyDxI7w,other,5 faits ÉTONNANTS sur l ORGASME masculin !,no,,no,1690561808,2023-07-28 16:07:08,Doctissimo,UCGexSARr1S9mRfn2G72xPLQ,Howto & Style,fr,fr,4365,98,,,0,0,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
WHMxIa2fN1U,other,Bilan biologiques fertilité MatriceLAB ou Fertil-Inlab : 3 différences,no,,no,1689517722,2023-07-16 14:07:42,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,440,11,,,0,2,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
kcnu3KxH9Dg,other,Réussir une FIV après 40 ans,no,,no,1643387705,2022-01-28 16:01:05,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,8338,208,,,0,29,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
AmYLmJPZv78,other,Bilan fertilité Fertil-InLab : des analyses qui permettent enfin d avoir des réponses,no,,no,1689352620,2023-07-14 16:07:00,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,294,8,,,0,2,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
ST44N0z_hwc,other,Transfert d embryon frais ou congelé: 3 éléments pour prendre sa décision,no,,no,1688308756,2023-07-02 14:07:16,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,386,13,,,0,10,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
XOGFu9y5pfo,other,Fertilité et immunité : que faut-il savoir ?,no,,no,1651247268,2022-04-29 15:04:48,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,2316,63,,,0,17,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
v67My6ZsruA,other,Webinaire : Les traitements de PMA au portugal,no,,no,1686958278,2023-06-16 23:06:18,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,218,10,,,0,11,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
0J2tySzXzuw,other,LE meilleur complément fertilité,no,,no,1657477020,2022-07-10 18:07:00,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,15320,365,,,0,42,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
ktd-1bWjgjA,other,Augmenter la quantité d ovocytes ?,no,,yes,1656693946,2022-07-01 16:07:46,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,8831,207,,,0,18,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
ADvgy4Q5UsQ,other,SOPK : Infertilité - et si c était les ovaires ? - La Maison des maternelles #LMDM,no,,no,1622446645,2021-05-31 07:05:25,La Maison des Maternelles,UCIPYAUOsPwGooCilzojYvIA,Entertainment,,,40736,558,,,0,,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
8gnncDlIuVg,other,100 façons d annoncer sa grossesse !,no,,no,1504712275,2017-09-06 15:09:55,La Maison des Maternelles,UCIPYAUOsPwGooCilzojYvIA,Entertainment,,,80320,525,,,0,,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
QFTgJkcsSTs,other,Infertilité : un défi de société majeur qui suscite l inquiétude • FRANCE 24,no,,yes,1639669960,2021-12-16 15:12:40,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,News & Politics,,fr,3617,29,,,0,8,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
EwtgJptj6Xg,other,J ai du sang sur les mains  : l histoire du père de la bombe atomique  Robert Oppenheimer,no,,no,1690708500,2023-07-30 09:07:00,Brut,UCSKdvgqdnj72_SLggp7BDTg,Science & Technology,,fr,54394,1057,,,0,113,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
zCww9bRO-uU,other,Les Français  de moins en moins fertiles ? - Le Magazine de la Santé,no,,no,1645721104,2022-02-24 16:02:04,Allo Docteurs,UCv6qHPwghGsyOfzEYZXcfKg,Science & Technology,,fr,9890,,,,0,3,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
NEQZ0xCwkGM,other,PMA Info - Infertilité : Quand faut-il s inquiéter ? Par le Dr Tibi,no,,no,1634385609,2021-10-16 12:10:09,Gedeon Richter France,UCu41GFnCqWyT7mZXb0K1IfA,Science & Technology,,fr,14549,141,,,0,,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
Qa3ryDo0s1U,other,Quelles sont les causes de l infertilité ? Les explications du Dr Jimmy Mohamed - Allo Docteurs,no,,yes,1681030827,2023-04-09 09:04:27,Allo Docteurs,UCv6qHPwghGsyOfzEYZXcfKg,Science & Technology,,fr,2952,,,,0,14,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
BPVJ-rdQ95w,other,Don d ovocytes : récit d un couple qui s est battu pour avoir un enfant,no,,no,1542792368,2018-11-21 09:11:08,Allo Docteurs,UCv6qHPwghGsyOfzEYZXcfKg,Science & Technology,,,15012,169,,,0,,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
jpOoglhvCys,other,LA VÉRITÉ SUR LES FILLES ! (intimité  règles  pilule  stérilet...),no,,no,1589702804,2020-05-17 08:05:44,Juju Fitcats,UCIPbzkl1kZ_9Gyuph_FGvzg,Sports,,,965860,62924,,,0,4999,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
LoAaOGBxSyY,other,Les règles ne sont pas qu une affaire de filles !,no,,no,1654380005,2022-06-04 22:06:05,DW 77 pour cent,UCY7BL6jsKZnjsCWcD2Vejew,Education,,,44165,343,,,0,13,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
QUgb416EZAg,other,La fidélité : un truc de mecs imposé aux femmes ? - Dialogue avec le Dr Patrick Lemoine,no,,no,1674982810,2023-01-29 09:01:10,Fabrice Midal,UChmYtDZNZFU88BOFQZ7NEPw,News & Politics,,fr,40637,1185,,,0,122,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
HUyrmP0M-Bg,other,Une DESCENTE D ORGANE de l UTÉRUS - C est possible ?,no,,no,1689957003,2023-07-21 16:07:03,Doctissimo,UCGexSARr1S9mRfn2G72xPLQ,Howto & Style,fr,fr,3145,66,,,0,3,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
B6y4s6cXZhQ,other,Ménopause traitement naturel : plantes et micronutrition,no,,no,1659700810,2022-08-05 12:08:10,Florence Pinheiro Ortolan,UCWOUqOT-Q68HyGh61PM9t6Q,Education,,fr,35076,1935,,,0,131,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
xbE5bCTU5Io,other,Améliorer la qualité de ses ovocytes,no,,yes,1621580226,2021-05-21 06:05:06,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,,fr,23140,366,,,0,22,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
GVe0rJMD5Ds,other,Inflammation et fertilité : Live avec Babyhope,no,,no,1644256069,2022-02-07 17:02:49,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,2864,52,,,0,22,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
vZcX6lmk8_A,other,Devenir parents après 6 ans d infertilité  ils l ont fait !,no,,yes,1685891820,2023-06-04 15:06:00,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,423,8,,,0,0,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
ZIDiaQXbspA,other,Comment rééquilibrer son immunité lors d’un désir de conception?,no,,yes,1645115612,2022-02-17 16:02:32,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,4556,100,,,0,13,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
KJll3asbfi8,other,Sa femme est décédée quelques heures après son accouchement - Ça commence aujourd hui,no,,no,1605195934,2020-11-12 15:11:34,Ça commence aujourd hui,UCl0u_YK8kwwZanklN6W-3tg,Entertainment,,,1006944,18484,,,0,1424,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
jHG9-gGMsp0,other,La mûre : votre allié fertilité,no,,no,1690208951,2023-07-24 14:07:11,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,659,27,,,0,2,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
UGeFrgmqxyE,other,Corinne LALO : « Ces perturbateurs hormonaux qui nous empoisonnent ! »,yes,15,no,1640076901,2021-12-21 08:12:01,L invité,UCtyZ1cGRbRnTGKok6RU9CwA,News & Politics,en,en,477499,17107,,,0,1461,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
o9xbFB1uMo8,other,Interview #4 : Barbara Demeneix et les perturbateurs endocriniens,yes,46,yes,1521365401,2018-03-18 09:03:01,Le Fil d Actu - Officiel,UC9hHeywcPBnLglqnQRaNShQ,Entertainment,fr,fr,10404,602,,,0,66,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
aBWRpJJyobs,other,Barbara Demeneix :  Les perturbateurs endocriniens sont partout,no,,yes,1515512809,2018-01-09 15:01:49,FRANCE 24,UCCCPCZNChQdGa9EkATeye4g,News & Politics,,fr,3531,47,,,0,3,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
a7AqWZbwOJQ,other,Chlordécone : le scandale sanitaire expliqué,no,,no,1532765433,2018-07-28 08:07:33,Le Monde,UCYpRDnhk5H8h16jpS84uqsA,People & Blogs,,fr,325017,3911,,,0,348,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
1w14BBwKdbc,other,Les HOMMES ne sont plus des HOMMES ? (Parlons TESTOSTÉRONE),no,,no,1635703492,2021-10-31 18:10:52,Nassim Sahili,UCC1Tdag0L4dfOEDAsWW6TvQ,Sports,fr,,221753,13122,,,0,628,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
NEPSOy1lThU,other,Les troubles obsessionnels compulsifs,no,,no,1486117672,2017-02-03 10:02:52,France 3 Hauts-de-France,UCFC3nJ8GXl5yONe3tB_vhsw,News & Politics,,,37469,437,,,0,45,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
W3FgWXejXAg,other,Le lobby du sucre,no,,yes,1508477739,2017-10-20 05:10:39,Draw my news,UCpcd7UA71-eBeJnWftXx9HA,News & Politics,fr,fr,4258,80,,,0,1,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
VNctKYjXIXI,other,Becky G imitando a Rosalia cuando suena su éxito “BIZCOCHITO” 😂,no,,no,1660416921,2022-08-13 18:08:21,Becky G México,UCK2NURM041hwPVhcHCeo18w,Music,,,4714488,146050,,,0,1605,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
PC3NI29yBpg,other,L exercice physique pour tous et toujours,no,,no,1574933351,2019-11-28 09:11:11,Fréquence Médicale,UCtNyuN_HFlNYO0-gqXwhLTg,Science & Technology,fr,fr,109565,,,,0,,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
d1fKMGtMtdQ,other,L EURO PASSERA-T-IL L HIVER ? – LA CRISE DES DETTES SOUVERAINES ARRIVE,no,,no,1664208306,2022-09-26 16:09:06,Le Fil d Actu - Officiel,UC9hHeywcPBnLglqnQRaNShQ,News & Politics,fr,fr,222951,13415,,,0,1289,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
eacJLwn5BLU,other,Déco à tout prix,no,,no,1649757149,2022-04-12 09:04:29,Samedi à tout prix,UCCuySJIvnUg7Zrbcvb4zlgg,Howto & Style,,fr,1521,26,,,0,0,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Other
esSfDjp1jkg,endocrine-disrupting-chemicals-awareness,Comment fonctionnent les perturbateurs endocriniens ?,yes,1,yes,1499872881,2017-07-12 15:07:21,Le Monde,UCYpRDnhk5H8h16jpS84uqsA,People & Blogs,,fr,48147,655,,,0,30,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
ypc_FOApBPM,endocrine-disrupting-chemicals-awareness,C est quoi un perturbateur endocrinien ?,yes,2,yes,1536144504,2018-09-05 10:09:24,Brut,UCSKdvgqdnj72_SLggp7BDTg,News & Politics,,fr,29566,748,,,0,43,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
Q61kbu0Hi-w,endocrine-disrupting-chemicals-awareness,Réduire les perturbateurs endocriniens - 5 changements faciles,yes,5,yes,1674030545,2023-01-18 08:01:05,Cynthia Kå,UCkzCtxJAklNTXCAxsuyBR9Q,People & Blogs,fr,fr-FR,72054,5207,,,0,98,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
wTTqQX8XGq4,endocrine-disrupting-chemicals-awareness,2 minutes tout compris - Les perturbateurs endocriniens,yes,6,yes,1481638035,2016-12-13 14:12:15,eSET Bourgogne-Franche-Comté,UC4zfu_rR-S-S1Da6a2dkjPA,Education,,fr,42709,502,,,0,12,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
lUACC_M7xIs,endocrine-disrupting-chemicals-awareness,Perturbateurs endocriniens: comment les éviter ?,yes,8,yes,1652456091,2022-05-13 15:05:51,Fertil-In,UCXr-zHpWhCfNckc7V7bVpcg,Howto & Style,fr,fr,3547,103,,,0,18,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
Msd4GsDTAGs,endocrine-disrupting-chemicals-awareness,Perturbateurs Endocriniens : 5 Conseils pour les Éviter ❗,yes,9,yes,1595779206,2020-07-26 16:07:06,Guillaume Feelgood,UCFvzFLTCf8LpHiyBTL5R-JA,People & Blogs,,fr,2284,206,,,0,55,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
0gcVqHjgoh0,endocrine-disrupting-chemicals-awareness,Quels sont les dangers des perturbateurs endocriniens ?,yes,10,yes,1598592601,2020-08-28 05:08:01,Doctissimo,UCGexSARr1S9mRfn2G72xPLQ,Howto & Style,fr,fr,3752,164,,,0,5,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
hFUT5PErnco,endocrine-disrupting-chemicals-awareness,Les perturbateurs endocriniens  c’est quoi ?,yes,11,yes,1509874201,2017-11-05 09:11:01,Nouvo,UCN24XiX1e8fTJEfanFRWeaw,Science & Technology,fr,fr,3389,50,,,0,1,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
YMgRJJvf9d8,endocrine-disrupting-chemicals-awareness,Les perturbateurs endocriniens  c est quoi ?,yes,13,yes,1500975897,2017-07-25 09:07:57,Sud Ouest,UC7PX-myPpcT4YfZEWqZxGGg,News & Politics,,,6890,76,,,0,2,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
vZCQTox9rpg,endocrine-disrupting-chemicals-awareness,C est quoi les perturbateurs endocriniens ?,yes,16,yes,1488484462,2017-03-02 19:03:22,Brut,UCSKdvgqdnj72_SLggp7BDTg,News & Politics,,,962,22,,,0,0,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
SIBHoRsgS-o,endocrine-disrupting-chemicals-awareness,Infertilité : la faute aux perturbateurs endocriniens ? - Allo Docteurs,yes,18,yes,1680966015,2023-04-08 15:04:15,Allo Docteurs,UCv6qHPwghGsyOfzEYZXcfKg,Science & Technology,,fr,23505,,,,0,23,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
TGKnCtDfkms,endocrine-disrupting-chemicals-awareness,Les perturbateurs endocriniens dans l alimentation  comment les éviter ?,yes,20,yes,1656500805,2022-06-29 11:06:45,Croix-Rouge française,UCYX4PcgqrQlx5togadd5JEA,Nonprofits & Activism,,fr,435,11,,,0,,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
lyk-LcZquvM,endocrine-disrupting-chemicals-awareness,Les perturbateurs endocriniens - Comment réagir face à ce fléau invisible,yes,21,yes,1558854008,2019-05-26 07:05:08,Investigations et Enquêtes,UC50uCdUubc04xXZz7bqv5ng,Entertainment,fr,fr,20735,411,,,0,74,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
C8EvuESMLr8,endocrine-disrupting-chemicals-awareness,Dossier du Jour - La vérité sur les perturbateurs endocriniens,yes,22,yes,1493808886,2017-05-03 10:05:46,Samedi à tout prix,UCCuySJIvnUg7Zrbcvb4zlgg,Entertainment,,,22876,242,,,0,9,https://i.ytimg.com/vi/undefined/mqdefault.jpg,FR,Endocrine disrupting chemicals awareness
